name,url
"PARTYNEXTDOOR","1fblyE_Y0wtv6LHeB8WKAGnMFJmvwUlHcycUhD0nXsAU"
"Pharrell Williams","1guNCg4c5AOuKjNJcxM14wPrU5xgqv7GBXHv1_nDeyss"
"Phl Noturnboy","1olDfFJOhgUGoUu5YuSznISkFx7C5D9GjoHHTjYEUHfs"
"Phoebe Bridgers","1P81402MjF8lgeXp7AceonKmPTKb3ZMEMX0pay5_BNJY"
"Pi'erre Bourne","10nxKfjzuGTlvieAoDWJ8VcDPj2Jxy1bnNeLxzjLq2i8"
"Pink Floyd","12iGihNLwLuCHufFIT_v1EgK9J4aXDLbRHcYTa_3gydg"
"PinkPantheress","1EddOGo-jbB1dqcXlVeSqrfvJkUceLUTgmPEBw4TjqCw"
"Playboi Carti","1rAU0sktd1GKpqo_AAWBtkXy10Px3BB_dnK9yJoN0umw"
"POORSTACY","1vu4M8Lj4jP46cWVs3I4CtPvhlWCeAcOY2mJXSJFmfaU"
"Pop Smoke","1-Kd8molYeR1WpmWR81DqmSCGng3g-AVmZfgd752kh3M"
"Poppy","1MJzPD7_GoW4olDNBBq32xhC8OXvwLZW337u7C-s9GIk"
"Porter Robinson","1Cr7Apky8BczOxNflY2PSTg9W31ARrrUCjdqk1Qn4VD8"
"Post Malone","1oFFGtGJ7liKPbw_Y9uAxbxzGDq_UQNDnNMDb-qQZS80"
"Prettifun","1gHCN8bRLQPLz0jRRS2UBN9cZbgPLK8VSnAwAEJHzk9I"
"Primus","1kSkxcpZgLqNb3ms5gdGcAL04cg4ylA_MwbRLVemVPoY"
"Proof","1lfFXBYjIAjnDbs2M6B2vtaD6ZRTBTneS9Z1Y66FDRpM"
"Pusha T","1S695-f_ZckQByFgHy-FVNHojxrG0sqVqy-bQNYdK0c8"
"Quadeca","1YXXvANbMdpViF1SbavcnHE1-KLTfmlZIdnGufiyi9eA"
"Quincy","1vcyVWCz8ZcJPWIr27wLw4jHMuzKmov3wmIZhKOyhMUg"
"Quinn/Osquinn","1tN-4h54IwDEDo1I7BTKIgGkgoWvq-0X_-XrXvNwalP8"
"Radiohead","1OUNNIFtTigm4XvJNMIFZP9kaTvmvBit6Yy43lZXGYQc"
"Rae Sremmurd","1BMq3Ki-eNLykcUotqbjGAxSTb1cll5ldPs9uRHrKXNs"
"RAYE","1XKxt2eS80Z4X2uOX0cZOTCMVtWYl1nfTWtJOQiBsXL0"
"Regurgitator","1a0MHNCTYt_gHiyu0B1Yt5MGEZy1Mu-A7T0Xtui9iWbk"
"Rex Orange County","1R9dkRkIjoagXExTvKYYOkDvECK_NP591YhRQBqwkeuo"
"Rich Brian","1pvgSVw3Ke00Nle5ylebJmHXFtmsWkKmdnVo7vi8Gb4g"
"Rihanna","1DKf6MBZ6KcKoKFH5Vnl1qc3CrPIiHey-EgOrpKpLZQo"
"Rosalía","1r98aVOoa3Gg-ObBl4A0ekRXJ4X6oHMBIY-3G37bhrtk"
"Royce Da 5'9'","1pwUiDLO02pqKZjsAqA7lyf-EmWHzuxq4ACQ--76CeRA"
"Sabrina Carpenter","1nMD75Ubegv2mIKS2cBgqN1hA3j0cH7rVU6G0PpVgDl4"
"Sahbabii","1NXFFPblYYTRtunLEv_UrjeeuX7d3wSU2fmwMfO827ts"
"SAINt JHN","1pGXBYLfew01Fol15HVvJ08UNag3guqCAo9nFeNitFkM"
"SALEM","https://docs.google.com/spreadsheets/d/e/2PACX-1vQwKlt8Fzy9bnhePeOfBKe4sMhzH-Q8ij5eo3qXK134qXzWVIXstQhGbtFZH9bX0g/pubhtml"
"Sampha","1Lyqc9CH9MPsdRb5ISk5NCWO3LMezLFTq7RFAthenOA0"
"Selena Gomez","10NdIn1iVdHxt0XbZmssh7pw7p7bsbFML6hwDIF4hMvU"
"Shady Records","1M5XxuiUbx38V0XhxSgO3AiD124S5mLA8mj3C8m-G8Ew"
"Shawn Mendes","1AXukDK3k5Est81hchg8Rsc_BL3Mz7DfP45rAQCgiIsc"
"shebeel661k","1JNBQwTH-LJ49YPMWZjIwuRWbYo9L2AM9RS5up-LJMA0"
"Sheck Wes","1DZTmNAHXkuzMnywjgW_GFld-_Wby0ByCu49vpaFNt5A"
"Shed Theory","16tjBtKro4UD8UVAsJdHaeW1J0TDiOU5wxc_mHOdFeUQ"
"Sheff G","1VsUkKon5S5SA-XVJ8_sgn44ZiodGaawH3GYujbmp8-c"
"shiey","1RhFKRLKc7PkncRCSspJI5FxvEToiWX37SQzhAuCMkys"
